error_code,action_code,message_ko,message_en
2009,0,강화를 할 수 없는 파트너입니다.,It is the partner who cannot be enhanced.
2010,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2011,0,캐릭터 데이터를 찾을 수 없습니다.,Character data cannot be found.
2012,0,캐릭터 강화에 실패하였습니다.,Character enhancement failed.
2013,0,더 이상 강화를 할 수 없습니다.,You cannot enhance any more.
2014,0,강화를 할 수 없는 캐릭터입니다.,This character cannot be upgraded.
2015,0,캐릭터가 존재하지 않습니다.,The character does not exist.
2016,0,같은 종류의 캐릭터만 강화할 수 있습니다.,Upgrading is only possible for characters of the same type.
2017,0,강화할 수 없는 레벨입니다.,This level cannot be enhanced.
2018,0,잠금상태의 캐릭터입니다.,The character is locked.
2019,0,파트너가 존재하지 않습니다.,A partner does not exist.
2020,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2021,0,캐릭터 정보를 찾을 수 없습니다.,Character information cannot be found.
2022,0,재료로 사용될 캐릭터가 존재하지 않습니다.,The character to be used as an ingredient does not exist.
2023,0,재료로 사용될 파트너가 존재하지 않습니다.,The partner to be used as an ingredient does not exist.
2024,0,재료로 사용될 수 없는 캐릭터 입니다.,The character cannot be used as an ingredient.
2025,0,재료로 사용될 수 없는 파트너 입니다.,The partner cannot be used as an ingredient.
2026,0,캐릭터 정보를 찾을 수 없습니다.,Character information cannot be found.
2027,0,파트너 정보를 찾을 수 없습니다.,Partner information cannot be found.
2028,0,캐릭터가 존재하지 않습니다.,The character does not exist.
2029,0,파트너가 존재하지 않습니다.,The partner does not exist.
2030,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2031,0,파트너 데이터를 찾을 수 없습니다.,Partner data cannot be found.
2032,0,아이템이 존재하지 않습니다.,Item does not exist.
2033,0,레벨업 데이터를 찾을 수 없습니다.,Upgrade data cannot be found.
2034,0,레벨업 할 수 없는 파트너입니다.,This companion cannot be promoted.
2035,0,파트너 레벨업에 필요한 재료가 부족합니다.,Not enough materials for partner level up.
2036,0,파트너가 존재하지 않습니다.,The partner does not exist.
2037,0,파트너가 존재하지 않습니다.,The partner does not exist.
2038,0,파트너 정보를 찾을 수 없습니다.,Partner information cannot be found.
2039,0,파트너가 존재하지 않습니다.,The partner does not exist.
2040,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2041,0,파트너 정보를 찾을 수 없습니다.,Companion information cannot be found.
2042,0,파트너 강화에 실패하였습니다.,Partner enhancement failed.
2043,0,더 이상 강화를 할 수 없습니다.,You cannot enhance any more.
2044,0,파트너가 존재하지 않습니다.,The partner does not exist.
2045,0,파트너 강화에 필요한 재료가 부족합니다.,Not enough materials for partner enhancement.
2046,0,같은 종류의 파트너만 강화할 수 있습니다.,Upgrading is only possible for partners of the same type.
2047,0,같은 등급의 파트너만 강화할 수 있습니다.,Upgrading is only possible for partners of the same grade.
2048,0,잠겨있는 파트너입니다.,The partner is locked.
2049,0,강화할 수 없는 레벨입니다.,This level cannot be enhanced.
2050,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2051,0,같은 종류의 파트너는 장착 할 수 없습니다.,Same kind of partners cannot be equipped.
2052,0,아이템이 존재하지 않습니다.,The item does not exist.
2053,0,재료가 부족합니다.,Materials are not enough
2054,0,캐릭터 레벨 데이터를 찾을 수 없습니다.,Character level data cannot be found.
2055,0,더 이상 레벨업을 할 수 없습니다.,You cannot level up anymore.
2056,0,아이템 정보를 찾을 수 없습니다.,Item information cannot be found.
2057,0,재료로 사용될 캐릭터가 잠겨 있습니다.,The character to be used as an ingredient is locked.
2058,0,같은 등급의 캐릭터만 강화할 수 있습니다.,Enhancement is only possible for characters of the same grade.
2059,0,캐릭터 정보를 찾을 수 없습니다.,Character information cannot be found.
2060,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2061,0,유저 프리셋 정보를 찾을 수 없습니다.,User preset information cannot be found.
2062,0,캐릭터가 존재하지 않습니다.,The character does not exist.
2063,0,파트너가 존재하지 않습니다.,The partner does not exist.
2064,0,파트너의 데이터가 없습니다.,The partner''s data cannot be found.
2065,0,캐릭터 데이터를 찾을 수 없습니다.,Character data cannot be found.
2066,0,아이템 정보를 찾을 수 없습니다.,Item information cannot be found.
2067,0,파트너 스킬변경에 필요한 재료가 부족합니다.,Materials to change partner's skill are not enough.
2068,0,파트너 레벨 데이터를 찾을 수 없습니다.,Partner level data cannot be found.
2069,0,더 이상 레벨업을 할 수 없습니다.,You cannot level up anymore.
2070,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2071,0,파트너 정보를 찾을 수 없습니다.,Companion information cannot be found.
2072,0,스킬 변경에 실패했습니다.,Failed to change skills.
2073,0,아이템이 존재하지 않습니다.,The item does not exist.
2074,0,파트너 스킬변경에 필요한 재료가 부족합니다.,Materials to change partner's skill are not enough.
2075,0,아이템 정보를 찾을 수 없습니다.,Item information cannot be found.
2076,0,사용중이지 않는 파트너 입니다.,This partner is not in use.
2077,0,파트너 업그레이드 데이트를 찾을 수 없습니다.,Partner upgrade data cannot be found.
2078,0,파트너 레벨이 부족합니다,Partner level is insufficient.
2079,0,재료로 사용될 파트너가 잠겨 있습니다.,The character to be used as an ingredient is locked.
2080,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2081,0,캐릭터 정보를 찾을 수 없습니다.,Character information cannot be found.
2082,0,잠금처리가 불가능한 캐릭터 입니다.,This character cannot be locked.
2083,0,유저 정보를 찾을 수 없습니다.,User information cannot be found.
2084,0,캐릭터 정보를 찾을 수 없습니다.,Character information cannot be found.
2085,0,파트너 정보를 찾을 수 없습니다.,Partner information cannot be found.
2086,0,캐릭터가 존재하지 않습니다.,Character does not exist.
2087,0,파트너가 존재하지 않습니다.,Partner does not exist.
2088,0,업그레이드 데이트를 찾을 수 없습니다.,Upgrade date cannot be found.
2089,0,업그레이드 데이트를 찾을 수 없습니다.,Upgrade date cannot be found.
2090,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2091,0,캐릭터가 존재하지 않습니다.,The character does not exist.
2092,0,잠금처리가 불가능한 파트너 입니다.,This companion cannot be locked.
2093,0,잠금처리에 실패하였습니다.,The locking was failed.
2094,0,같은 등급의 파트너만 강화할 수 있습니다.,Enhancement is only possible for partners of the same grade.
2095,0,파트너 정보를 찾을 수 없습니다.,Partner information cannot be found.
2096,0,파트너 데이터를 찾을 수 없습니다.,Partner data cannot be found.
2097,0,임무 수행중인 캐릭터는 레벨업을 할 수 없습니다.,Character who is on a mission cannot level up.
2098,0,임무 수행중인 캐릭터는 강화를 할 수 없습니다.,Character who is on a mission cannot enhance.
2099,0,임무 수행중인 캐릭터는 강화재료로 사용할 수 없습니다.,Character who is on a mission cannot be used as a material for enhancement.
2100,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
2101,0,이미 보상을 받았습니다.,The reward has already been received.
2102,0,보상을 받을 수 없습니다.,Rewards cannot be received.
2103,0,보상 데이터가 없습니다.,No reward data.
2104,0,임무 수행중인 동료는 레벨업을 할 수 없습니다.,Partner who is on a mission cannot level up.
2105,0,임무 수행중인 동료는 강화를 할 수 없습니다.,Partner who is on a mission cannot enhance.
2106,0,임무 수행중인 동료는 강화재료로 사용할 수 없습니다.,Partner who is on a mission cannot be used as a material for enhancement.
3000,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
3010,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
3011,0,합성할 수 있는 아이템이 아닙니다.,This is not a synthesizable item.
3012,0,보유 토큰 개수가 부족합니다.,Not enough tokens.
3013,0,아이템 합성에 실패 하였습니다.,Item synthesis failed.
3020,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
3021,0,합성 토큰 2개 이상 5개 이하만 가능합니다.,It is possible at least 2 but no more than 5 synthesized tokens.
3022,0,합성할 수 있는 아이템이 아닙니다.,This is not a synthesizable item.
3023,0,보유 토큰 개수가 부족합니다.,Not enough tokens.
3024,0,아이템 합성에 실패 하였습니다.,Item synthesis failed.
3100,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
3101,0,스타가 부족합니다.,Not enough stars.
3102,0,스타팩 열기에 실패했습니다.,Failed to open the Star Pack.
3103,0,스타팩 데이터를 찾을 수 없습니다.,Star Pack data cannot be found.
3110,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
3111,0,스타팩 데이터를 찾을 수 없습니다.,Star Pack data cannot be found.
3112,0,샵 정보를 찾을 수 없습니다.,Shop information cannot be found.
3113,0,샵 데이터를 찾을 수 없습니다.,Shop data cannot be found.
3114,0,상품 판매 기간이 아닙니다.,The product is not on sale.
3115,0,더 이상 구매 할 수 없습니다.,It is no longer available for purchase.
3116,0,아이템이 존재하지 않습니다.,The item does not exist.
3117,0,샵 티켓 정보를 찾을 수 없습니다.,Shop ticket information cannot be found.
3118,0,아이템이 존재하지 않습니다.,The item does not exist.
3119,0,아이템 변경에 실패 했습니다.,Failed to change item.
3120,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
3121,0,샵 데이터를 찾을 수 없습니다.,Shop data cannot be found.
3122,0,상점 목록 데이터를 찾을 수 없습니다.,Shop list data cannot be found.
3123,0,샵 데이터를 찾을 수 없습니다.,Shop data cannot be found.
3124,0,아이템 지급에 실패했습니다.,Item distribution was failed.
3125,0,샵 정보를 찾을 수 없습니다.,Shop information cannot be found.
3126,0,샵 데이터를 찾을 수 없습니다.,Shop data cannot be found.
3127,0,샵 랜덤 데이터를 찾을 수 없습니다.,Shop random data cannot be found.
3128,0,샵 랜덤 데이터를 찾을 수 없습니다.,Shop random data cannot be found.
3129,0,샵 랜덤 데이터에서 누적비율을 찾을 수 없습니다.,Unable to find accumulation rate in shop random data.
3130,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
3131,0,아이템이 존재하지 않습니다.,Item does not exist.
3132,0,재화가 부족합니다.,Not enough goods.
3133,0,상품 판매 기간이 아닙니다.,Not the product purchase period.
3134,0,더 이상 상품을 구매할 수 없습니다.,You cannot buy the product any more.
3135,0,아이템을 구매할 수 없습니다.,You cannot buy an item.
3136,0,아이템 지급에 실패했습니다.,Failed to receive items.
3137,0,아이템 정보를 찾을 수 없습니다.,Item information cannot be found.
3138,0,아이템이 존재하지 않습니다.,The item does not exist.
3139,0,아이템이 존재하지 않습니다.,The item does not exist.
3140,0,아이템이 존재하지 않습니다.,The item does not exist.
3141,0,아이템 변경에 실패 했습니다.,Failed to change item.
3142,0,아이템 변경에 실패 했습니다.,Failed to change item.
3143,0,아이템 변경에 실패 했습니다.,Failed to change item.
3144,0,아이템 정보를 찾을 수 없습니다.,Item information cannot be found.
3145,0,아이템이 존재하지 않습니다.,The item does not exist.
3146,0,아이템 개수가 맞지 않습니다.,The number of items is incorrect.
3147,0,아이템 변경에 실패했습니다.,Failed to change item.
3148,0,아이템이 존재하지 않습니다.,The item does not exist.
3149,0,아이템 변경에 실패했습니다.,Failed to change item.
3150,0,아이템 변경에 실패했습니다.,Failed to change item.
3200,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
3201,0,스타박스 티켓이 부족합니다.,Starbox tickets are insufficient.
3202,0,스타박스 랜덤 정보를 찾을 수 없습니다.,Starbox random information not found.
3210,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
4000,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
4001,0,지갑 주소를 입력해 주세요,Please enter your wallet address
4002,0,이미 지갑이 존재합니다.,This wallet already exists.
4003,0,지갑 정보를 찾을 수 없습니다.,Wallet information cannot be found.
4004,0,지갑이 유효하지 않습니다.,Wallet is invalid.
4005,0,지갑이 유효하지 않습니다.,The wallet is invalid.
4006,0,NFT 등록에서 유저 지갑 주소가 없습니다.,There is no user wallet address in NFT registration.
4007,0,NFT 등록에서 response가 올바르지 않습니다.,Invalid response in NFT registration.
4008,0,NFT 등록에서 파라미터 타입이 올바르지 않습니다.,Invalid parameter type in NFT registration.
4009,0,NFT 등록에서 파라미터 검증에 실패했습니다.,Parameter verification failed in NFT registration.
4010,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
4011,0,지갑 정보를 찾을 수 없습니다.,Wallet information cannot be found.
4012,0,지갑이 유효하지 않습니다.,Wallet is invalid.
4013,0,NFT 등록해제에서 파라미터 타입이 올바르지 않습니다.,The parameter type is incorrect in NFT deregistration.
4014,0,NFT 등록해제에서 response가 올바르지 않습니다.,Invalid response in NFT deregistration.
4015,0,NFT 등록해제에서 지갑주소가 데이터베이스에 업데이트되지 않았습니다.,Wallet address is not updated to the database in NFT deregistration.
4016,0,NFT 등록에서 지갑주소가 데이터베이스에 등록되지 않았습니다.,"In NFT registration, the wallet address is not registered in the database."
4017,0,NFT 등록해제에서 유저 정보를 확인할 수 없습니다.,User information cannot be verified in NFT deregistration.
4018,0,NFT 등록해제에서 유저 지갑 주소가 없습니다.,There is no user wallet address in NFT deregistration.
4019,0,NFT 등록해제에서 파라미터 검증에 실패했습니다.,Parameter verification failed in NFT deregistration.
4020,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
4021,0,NFT 캐릭터가 아닙니다.,This character is not for NFTs.
4022,0,장착된 캐릭터 입니다.,This character is deployed.
4023,0,캐릭터 데이터를 찾을 수 없습니다.,Character data cannot be found.
4024,0,NFT 발행에 실패 했습니다.,Failed to issue NFT.
4025,0,파트너 정보를 찾을 수 없습니다.,Partner information cannot be found.
4026,0,NFT 파트너가 아닙니다.,This partner is not an NFT partner.
4027,0,장착된 파트너 입니다.,This partner is deployed.
4028,0,지갑 주소를 입력해 주세요,Please enter your wallet address
4029,0,캐릭터 민팅에서 Response가 올바르지 않습니다.,Response is incorrect in Character Minting.
4030,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
4031,0,NFT 발행이 불가능한 아이템입니다.,This item cannot be issued as an NFT.
4032,0,NFT 발행에 실패 했습니다.,Failed to issue NFT.
4033,0,발행 가능한 아이템이 없습니다.,No item can be issued.
4034,0,아이템 데이터를 찾을 수 없습니다.,Item data cannot be found.
4035,0,캐릭터 민팅에서 파라미터 검증에 실패했습니다.,Parameter verification failed in Character Minting.
4036,0,캐릭터 민팅에서 파라미터 타입이 올바르지 않습니다.,The parameter type is incorrect in Character Minting.
4037,0,캐릭터 민팅에서 버전 정보가 등록되지 않았습니다.,Version information is not registered in Character Minting.
4038,0,캐릭터 민팅에서 유저 객체를 가져올 수 없습니다.,Unable to get user object from Character Minting.
4039,0,캐릭터 정보를 가져올 수 없습니다.,Unable to import character information.
4040,1,유저 정보를 확인할 수 없습니다.,User information cannot be verified.
4041,0,캐릭터의 NFT 데이터를 찾을 수 없습니다.,Character NFT data cannot be found.
4042,0,파트너의 NFT 데이터를 찾을 수 없습니다.,Partner NFT data cannot be found.
4043,0,아이템의 NFT 데이터를 찾을 수 없습니다.,Item NFT data cannot be found.
4044,0,NFT 정보를 가져오는데 실패 했습니다.,Failed to load the NFT information.
4045,0,파트너 민팅에서 유저의 파트너 정보를 가져올 수 없습니다.,Unable to import a user's partner information from Partner Minting.
4046,0,파트너 민팅에서 파트너 고유 정보를 가져올 수 없습니다.,Unable to import partner unique information from Partner Minting.
4047,0,파트너 민팅에서 파트너 기술 정보를 가져올 수 없습니다.,Unable to import partner technical information from Partner Minting.
4048,0,파트너 민팅에서 Response가 올바르지 않습니다.,Response is incorrect in Partner Minting.
4049,0,파트너 민팅에서 암호화에 실패했습니다.,Encryption failed in Partner Minting.
4050,0,파트너 민팅에서 NFT 데이터 저장에 실패했습니다.,Failed to save NFT data in Partner Minting.
4051,0,파트너 민팅에서 파트너 정보 업데이트에 실패했습니다.,Failed to update partner information in Partner Minting.
4052,0,캐릭터 민팅에서 캐릭터 스킬 정보를 가져 올 수 없습니다.,Unable to import character skill information from Character Minting.
4053,0,캐릭터 민팅에서 캐릭터 텍스트 정보를 가져 올 수 없습니다.,Unable to import character text information from Character Minting.
4054,0,캐릭터 민팅에서 캐릭터 고유 정보를 가져올 수 없습니다.,Unable to import character unique information from Character Minting.
4055,0,캐릭터 민팅에서 암호화에 실패했습니다.,Failed to encrypt in Character Minting.
4056,0,캐릭터 민팅에서 캐릭터 정보 업데이트에 실패했습니다.,Failed to update character information in Character Minting.
4057,0,캐릭터 민팅에서 NFT 데이터 저장에 실패했습니다.,Failed to save NFT data in Character Minting.
4058,0,파트너 민팅에서 유저 정보를 확인할 수 없습니다.,Unable to verify user information in Partner Minting.
4059,0,파트너 민팅에서 파트너 파라미터 검증에 실패했습니다.,Partner Parameter verification failed in Partner Minting.
4060,0,아이템 민팅에서 유저 정보를 확인할 수 없습니다.,Unable to verify user information in Item Minting.
4061,0,아이템 민팅에서 파라미터 검증에 실패했습니다.,Parameter verification failed from Item Minting.
4062,0,아이템 민팅에서 유저 객체를 가져올 수 없습니다.,Unable to import user object from Item Minting.
4063,0,아이템 민팅에서 버전 정보를 가져올 수 없습니다.,Unable to import version information from Item Minting.
4064,0,아이템 민팅에서 유저 아이템 정보를 가져올 수 없습니다.,Unable to import user item information from Item Minting.
4065,0,아이템 민팅에서 유저 아이템이 부족합니다.,Not enough user items in Item Minting.
4066,0,아이템 민팅에서 고유 아이템 정보를 가져올 수 없습니다.,Unable to import unique item information from Item Minting.
4067,0,아이템 민팅에서 Response가 올바르지 않습니다.,Response is incorrect in Item Minting.
4068,0,아이템 민팅에서 암호화에 실패했습니다.,Encryption failed in Item Minting.
4069,0,아이템 민팅에서 NFT 데이터 저장에 실패했습니다.,Failed to save NFT data in Item Minting.
4070,0,아이템 민팅에서 아이템 정보 업데이트에 실패했습니다.,Failed to update item information in Item Minting.
4071,0,파트너 민팅에서 파트너 파라미터 타입이 올바르지 않습니다.,The partner parameter type is incorrect in Partner Minting.
4072,0,파트너 민팅에서 유저 객체를 가져올 수 없습니다.,Unable to import user object from Partner Minting.
4073,0,파트너 민팅에서 버전 정보를 가져올 수 없습니다.,Unable to import version information from Partner Minting.
4074,0,캐릭터 민팅에서 유저 정보를 확인할 수 없습니다.,Unable to verify user information in Character Minting.
4075,0,유저 아이템 정보를 찾을 수 없습니다.,Unable to find user item information.
4076,0,아이템이 존재하지 않습니다.,The item does not exist.
4077,0,아이템 변경에 실패 했습니다.,Failed to change item.
4078,0,유저 프리셋 정보를 찾을 수 없습니다.,User preset information cannot be found.
4079,0,유저 프리셋 정보를 찾을 수 없습니다.,User preset information cannot be found.
4080,0,NFT 리스트 호출에서 유저 정보를 확인할 수 없습니다.,Unable to check user information in NFT list call.
4081,0,NFT 리스트 호출에서 리스트 Response가 올바르지 않습니다.,Invalid list response in NFT list call.
4082,0,NFT 리스트 호출에서 리스트 정보를 가져올 수 없습니다.,Unable to import list information from NFT list call.
4083,0,NFT 리스트 호출에서 JSON 정보가 일치하지 않습니다.,JSON information does not match in NFT list call.
4084,0,NFT 리스트 호출에서 deposit 함수 결과가 true가 아닙니다.,The deposit function result is not true in the NFT list call.
4085,0,NFT 리스트 호출에서 캐릭터 정보를 찾을 수 없습니다.,Unable to find character information in NFT list call.
